Title,Phone number,Website,Address
Plateas Punilla,03541 15-68-0682,https://plateaspunilla.com.ar/,"Berutti 2274, X5166 Cosquín, Córdoba"
Lionel Almada construcciónes,,,"Esteban Echeverría 1460X5164, Santa María de Punilla, Córdoba"
DYM-REVESTIMIENTOS,03541 23-0501,,"Av. San Martin 1180, X5166 Cosquín, Córdoba"
Obrador BRH,,http://www.broggio.com.ar/,"Leopoldo Lugones, X5000 Cosquín, Córdoba"
Bialet Steel,,,"Belgrano 1350, Bialet Massé, Córdoba"
Constructora Alpi,03541 21-9840,https://www.instagram.com/alpiconstructora?igsh=ZGFmMTZuZDd1bWhp,"Av. San Martin 1777, X5166 Cosquín, Córdoba"
doHouse Desarrollos Inmobiliarios,0351 684-5712,,"Shopping Cosquín, Av. San Martin 877 Local 19, X5166 Cosquín, Córdoba"
TerraNova.Ventas.Cordoba,03541 67-5919,,"Jaime Dávalos 923, X5166 Cosquín, Córdoba"
MOVEX,03541 52-5882,https://www.facebook.com/profile.php?id=61569782556358,"Av. San Martin 601, 5164 Santa María de Punilla, Córdoba"
PROingE servicios y construcciones,0351 466-5868,,"Av. San Martin 1893 centro, santa Maria de Punilla- Còrdoba, X5158 Santa Maria"
Molienda de Aridos Cosquín,03541 45-0271,https://www.facebook.com/Molienda-de-aridos-cosquin-541599833040731/,"Ruta Nacional 38 esq. 3 de Febrero, X5166 Cosquín, Córdoba"
Nexus contrucciones,,,"X5166 Cosquín, Córdoba"
Serv & Rep,03541 59-0980,,"Av. San Martin 1358, X5166 Cosquín, Córdoba"
Estudio de Arquitectura Mariel Alvarez Murias,03541 61-5392,,"San Juan 451, X5166 Cosquín, Córdoba"
Charata's place,,,"Pan de Azucar, X5166 Cosquín, Córdoba"
Grupo Family,03541 61-8639,,"Lavalle 2131, X5164 Santa María de Punilla, Córdoba"
Pampa construcciones,03541 33-2149,,"Juan XXIII Nº12, X5158 Bialet Massé, Córdoba"
Ace soluciones edilicias,0351 211-5846,https://www.instagram.com/acesoluciones.23?igsh=cXduYWZ6bW5pd3k3,
Nugal Inmobiliaria,03541 68-5277,https://www.instagram.com/nugal.inmobiliaria/,"Catamarca 782, X5166 Cosquín, Córdoba"
John Construcciones,011 2790-2762,,"Los Talas, Dique San Roque esquina, X5158 Bialet Massé, Córdoba"
Construcciones punilla,0341 590-5090,https://www.instagram.com/tecnocellros?igsh=N2dod2gzaGJjZjJh,"Punilla, Tanti, Córdoba"
JGR Construcciones,011 3044-6623,,"Taninga 0, X5155 Tanti, Córdoba"
Montecons Desarrollistas,0351 676-1621,http://www.montecons.com.ar/,"Anacreonte 210, 5000 Córdoba"
URBICOR Construcciones,0351 351-4732,,"Manuel López 2425, X5000 Córdoba"
TLC Pavimento y Hormigón,0351 573-0001,http://tlc-constructora.com.ar/,"Balcarce 78 Local 4, X5105 Villa Allende, Córdoba"
Constructora MarcSuar | Steel Framing | Construcción en Seco,03541 63-1930,,"Antonio, Vivaldi 827, X5152 Villa Carlos Paz, Córdoba"
Vecta Constructora,0351 591-5640,https://vectaconstructora.com/,"GAMA S.A., Av. Colón 5050 1 piso Oficina 7, X5000 Córdoba"
Grupo Mac Constructora,0351 378-6618,https://www.grupomacconstructora.com/,"Menéndez Pidal 3531 Piso:1 Dpto:C, Menéndez Pidal 3531 Oficina 2º A, X5000 Córdoba"
Grupo Kreos Constructora,0351 328-3253,http://www.kreosconstructora.com.ar/,"Adrian Edgardo Douglas 6464, 5000 Córdoba"
RBL CONSTRUCTORA S.A.S,03543 69-4904,,"Av Sarmiento N° 1850 RUTA E - 53 Entre San Juan, San Luis y, X5113 Salsipuedes, Córdoba"
Tecons S.A. I Empresa Constructora,0351 583-3265,http://www.tecons.com.ar/,"Los Talas, Los Jacintos esquina, La Calera, Córdoba"
Inovarte Construcciones.,0351 632-7905,https://inovarteconstrucciones.com.ar/,"Ituzaingó 270, X5000 Córdoba"
Abregu Constructora,03541 51-4811,http://abreguconstructora.com.ar/,"Av. Cárcano 192 Av. Cárcano, Av. Estrada esq, X5152 Villa Carlos Paz, Córdoba"
CCA CONSTRUCCIONES SAN PATRICIO,03543 69-4525,,"9 de Julio 769, X5113 Salsipuedes, Córdoba"
FM Constructora,03541 64-9802,https://fmconstructora.com.ar/,
Aclade S.R.L. – Empresa Constructora,0351 498-6168,http://www.acladesrl.com.ar/,"Colectora Ruta 20 km 18 1/2, Barrio La Perla, Malagueño, Córdoba"
Quattro Pilares SRL,0351 683-2860,http://www.quattropilares.com/,"Pje. Costa Rica 1135, X5152 Villa Carlos Paz, Córdoba"
Empresa Constructora en Córdoba,0351 15-759-4473,https://empresaconstructoracordoba.com/,"Wenceslao Paunero 2555 Oficina 1, X5000 Córdoba"
RODE | Empresa Constructora y Desarrollos inmobiliarios,0351 589-7633,https://rode.com.ar/,"Av. La Voz del Interior 8821, X5008 Córdoba"
Cerco Blanco Constructora,0351 865-1642,https://www.cercoblancoconstructora.com.ar/,"Francisco Pasquini 1000 (Variante Colectora Juárez Celman, X5019 Córdoba"
Constructora Carranza,0351 698-7307,https://linktr.ee/constructoracarranza,"Eugenio Pizzolatto 6750, X5147 Córdoba"
Casco Blanco Constructora,0351 300-6426,,Córdoba
Eleven - Constructora Desarrollista,0351 209-8374,https://www.elevendesarrollos.com.ar/,"Jacobo Joule 5353 OF: 210/211, X5000 Córdoba"
Casa Vida Constructora,0351 528-4515,http://www.casavida.com.ar/,"9 de Julio 151, X5000 Córdoba"
Daniel Quevedo Construcciones,03541 55-5418,http://www.facebook.com/danielbernardo.quevedo,"George, Sand 43, X5152 Villa Carlos Paz, Córdoba"
Construcciones Argentina,0351 589-0366,,"Av. Italia esquina Ruta 20 km 18, La Perla, X5101 Malagueño, Córdoba"
Oscar H Martinez Construcciones,03541 42-4061,https://www.facebook.com/Oscar-H-Martinez-Construcciones-121147564598376/,"Belgrano 163, X5152 Villa Carlos Paz, Córdoba"
Lucas Sanchez Constructora - Propiedades en Venta,03541 52-6608,https://lucassanchezconstructora.com.ar/,"Av. los Olmos 232, X5152 Villa Santa Cruz del Lago, Córdoba"
Moschella Construcciones,03541 54-2317,,"Carlos Pellegrini 313, X5152 Villa Carlos Paz, Córdoba"
Busleiman Herrería y Construcción,0351 786-6508,https://estructurasbusleiman.com.ar/,"De las Fabricas Mzna B, Lote 2A, X5014 Córdoba"
AUE Constructora,03541 67-4554,https://www.aueconstructora.com.ar/,"Los Girasoles, Los Alamos y, X5152 Villa Santa Cruz del Lago, Córdoba"
Ingenieria & Diseño Socbe S.A. Empresa constructora,0351 481-8892,,"Gdor. Roque Ferreyra 1986, X5009 Córdoba"
Piscinas PSI - Empresa Constructora - Zona influencia Mendiolaza (No local comercial),0351 15-243-1220,http://www.piscinaspsi.com/,"Córdoba AR, Av. Martín Tissera 1500, X5001 Mendiolaza, Córdoba"
CT&A Constructora,0351 814-4543,https://www.ctyaconstructora.com.ar/,"POLO 52, X5000 Córdoba"
Martinez Lumello Construcciones S.A.,0351 455-2121,http://www.martinezlumello.com/,"Agustín Garzón 1906, X5000AZB Córdoba"
Nexa Constructora Desarrollista,,https://nexaconstructora.com.ar/,"Pje. San Ignacio 104, X5000 Córdoba"
CONSTRUCCIONES GARCÍA S.R.L.,0351 490-2099,,"Ing Hugo Druetta 62, X5101 Col. Tirolesa, Córdoba"
Coemsa Constructora Steel Framing,0351 506-2580,http://www.coemsa.com.ar/,"Gabriel Miró 4313, X5019 Córdoba"
Constructora La Casa Mía,0351 321-8687,http://www.lacasamia.com.ar/,"Pje. Usandivaras 259, X5004AEO X5004AEO, Córdoba"
Constructora Lw,0351 15-386-9313,,"Luis Colombo, X5101 Villa San Nicolas, Córdoba"
Binder Constructora,0351 481-0247,http://binder.com.ar/index.php/contacto/,"Av. Fernando Fader 4281 1º, X5000 Córdoba"
M100 Emprendimientos Inmobiliarios,02254 15-44-4114,https://m100emprendimientos.com.ar/,"De las Nayades 1953, B7167 Pinamar, Provincia de Buenos Aires"
Edifica Constructora/Inmobiliaria,0351 335-5494,https://edificaconstructorainmobiliaria.com/,"Gdor. Jose Esteban Bustos 1182, X5000 Córdoba"
"BM& Asociados, Arquitectura y Maestros Mayores de Obras",03472 43-6486,https://instagram.com/maciel_brian_m.m.o?igshid=MzRlODBiNWFlZA==,"Torricelli 99, X5152 Villa Carlos Paz, Córdoba"
GUT Constructora Inmobiliaria,0351 802-6970,https://gutconstructora.com.ar/,"Av. Rafael Núñez 4684, X5009CGN Córdoba"
Constructora Sure,,,"Agustín Paolucci, Córdoba"
Fit Constructora,0351 15-809-8390,http://fitconstructora.com.ar/,"Av. Rafael Núñez 4684, X5009CGN Córdoba"
Item Construcciones Sa,0351 480-4844,http://www.item.com.ar/,"Dr. Pedro Chutro 952, X5004 Córdoba"
CONSTANTINO V - CONSTRUCTORA OLMEDO E HIJOS,0351 310-6704,https://nexolmedo2.mitiendanube.com/,"Av. Uruguay 454, X5152 Villa Carlos Paz, Córdoba"
GreenLife Constructora SAS,03547 45-2579,https://greenlifeconstructora.com/,"Av. Colón 4701, X5000 Córdoba"
Smarts Homes Constructora,0351 676-7676,http://www.smartshomes.com.ar/,"Méjico 1539, X5000 Córdoba"
Alfa - Constructora,03548 59-5626,,"Bv La Ca ada 500, Villa Giardino, CORDOBA"
Grupo Crear Constructora,03543 64-1483,https://www.instagram.com/grupocrear.constructora?igsh=MWczaWwyNjFyeWk4Mw==,"Publica S/N, X5115 La Granja, Córdoba"
VC Inmobiliaria - Constructora & Consultora,03541 21-0971,https://inmobiliariavc.com.ar/,"Paseo Quatro, José Hernández 110 Local 2, X5152 Villa Carlos Paz, Córdoba"
Empresa Constructora Base SRL,0351 464-4462,https://www.empresaconstructorabase.com/,"De la Industria 797, X5000AYA Córdoba"
Del Puerto Constructora,0351 753-9279,,"Copina 1336 Oficina 4, X5014 EKB, Córdoba"
Bilt constructora,0351 331-7014,,"Tristán Malbrán 4246 oficina 2, X5009 Córdoba"
Meta Steel constructora desarrollista,0351 201-1707,,"Ituzaingó 270, X5006 Córdoba"
Montalvo Constructora,0351 549-4725,,X5006 Córdoba
Empresa Constructora Delta S.A.,,https://www.empresadelta.com.ar/,"Av. Duarte Quirós 1400 Local 225, X5000AMB X5000AMB, Córdoba"
Constructora Rizoma,0351 399-3236,,"José Manuel Saravia 354, X5012 Córdoba"
Constructora Thor SRL,0351 679-9888,,"Isabel la Católica 850, X5000 Córdoba"
Killa Desarrollos / Constructora Desarrollista,0351 15-212-8166,https://www.instagram.com/killadesarrollista.cba/,"Tucumán 690, X5000 Córdoba"
Britos Constructora,0351 480-1759,http://www.britossa.com.ar/,"Igualdad, X5000 Córdoba"
BZ Arq - CONSTRUCTORA,0351 657-1425,,"Soldado Ruiz 1655, X5000 Córdoba"
.,,,"Av. Juan Vucetich 6102, X5020 Córdoba"
Constructora del Lazio,0810-777-4329,,"Colectora 2712-3872, X5006KNB Córdoba"
Dyasa Empresa Constructora,0351 481-3372,,"Cerro de Las Rosas, Av. Fernando Fader 4244 Oficina 2 Piso 1, X5009 ABW, Córdoba"
Gauros Viviendas,0351 360-0347,https://gaurosviviendas.com.ar/,"De los Latinos 7120, Córdoba"
Marassa Construcciones,0351 15-391-6285,https://marassaconstrucciones.com.ar/,"Humberto Primo 630 - Capitalinas, X5000 Córdoba"
Opm Constructora,,,"Rancagua, X5000 Córdoba"
Desarrollista / Constructora del interior,,,"Obispo Trejo 650, X5000IYN Córdoba"
Sapyc S.R.L.,0351 494-0869,http://www.sapyc.com/,"Av. Circunvalación SO 450 (E/salida 12 y 13B) B°, Alejandro Carbó, X5016 AQR, Córdoba"
GRIF SA Constructora,,http://www.grif.com.ar/,"Obispo Trejo 648 2 A, X5000 Córdoba"
Pucheta Construcciones,0351 424-3347,https://puchetaconstrucciones.com.ar/,"Ibarbalz, Av. J. M. de Pueyrredón 979, X5004FAE Córdoba"
Gb Constructora SRL,0351 465-2131,,"Lagunilla 3476, X5011EKH Córdoba"
Ceballos construcciones,0351 528-9658,,"Astor Piazzolla, Córdoba"
ARMAG CONSTRUCTORA DESARROLLISTA,0351 552-6042,,"Av. Colón 1530, X5000 Córdoba"
LMR CONSTRUCTORA S.A,0351 428-6861,,"27 de Abril 351, X5000 AEG, Córdoba"
Ciar Sa Empresa Constructora,0351 423-2365,,"Av. Duarte Quirós 395, X5000 Córdoba"
Constructora El Rey SRL,0351 477-0347,,"Av. Monseñor Pablo Cabrera 2870 Loc. 2, X5008HHV Córdoba"
Cabial Empresa Constructora,0351 482-2855,,"Pelagio Belindo Luna 3130, X5000 Córdoba"
Castor Constructora,0351 480-2096,,"12 de Octubre 2335, X5003AUI Córdoba"
ZOE Constructora,0351 310-5447,,"Av. Maipú 55, X5000IBA Córdoba"
COROBRA Empresa Constructora,0351 328-0093,http://www.corobra.com/,"Fulgencio Montemayor 1338, X5013CKB Córdoba"
CasaClick Inmobiliaria y Constructora,03548 63-1363,https://casa-click.com.ar/,"Francisco Ramírez 172, X5176 Huerta Grande, Córdoba"
BASAA Constructora | BASAA S.A.,0351 480-0179,http://www.basaa.com.ar/,"Igualdad 4000, X5003BHT Córdoba"
Constructora Territorial SA,0351 424-3938,,"Jujuy 8, X5022FMB Córdoba"
Jmc & Asociados Constructora,03546 47-7202,https://www.facebook.com/Jmc-Asociados-Constructora-101840319075315/,"Blvd. San Juan 2000, X5000 Córdoba"
DI LUCA | Constructora - Movimientos De Suelo - Excavaciones -,0351 903-7342,,"Rufino Cuervo 1085, X5008 Córdoba"
fymac constructora,,https://fymac-construcciones.webnode.com/contacto/,"AV.URUGUAY, Av. San Martín ESQ, X5152 Villa Carlos Paz, Córdoba"
A Blanco Empresa Constructora SRL,0351 487-1618,,"De n C rdoba, Deán Funes 2306, X5003CVP Córdoba"
Embesa Constructora,0351 862-7077,http://www.embesa.ar/,"Juan José Paso 1797, X5000 Córdoba"
Constructora 0.cero_arquitectura,03498 44-0831,https://www.facebook.com/1375526979145957/posts/5266793173352632/,"Los Condores 342, X5152 Villa Carlos Paz, Córdoba"
Constructora Eblagon,,,Córdoba
Sestopal Empresa Constructora,,,"Unnamed Road, Córdoba"
Constructora Sur,,,"Octavio Pinto 2874, X5000 Córdoba"
